year,Rubie
1880,0
1881,0
1882,0
1883,0
1884,11
1885,5
1886,0
1887,10
1888,20
1889,14
1890,18
1891,13
1892,10
1893,20
1894,25
1895,14
1896,22
1897,23
1898,27
1899,24
1900,33
1901,27
1902,31
1903,38
1904,21
1905,28
1906,44
1907,42
1908,37
1909,52
1910,56
1911,51
1912,65
1913,65
1914,86
1915,103
1916,123
1917,113
1918,126
1919,125
1920,136
1921,156
1922,130
1923,132
1924,121
1925,118
1926,98
1927,96
1928,94
1929,89
1930,81
1931,64
1932,69
1933,61
1934,74
1935,58
1936,46
1937,48
1938,60
1939,46
1940,46
1941,46
1942,35
1943,32
1944,33
1945,47
1946,29
1947,40
1948,23
1949,33
1950,21
1951,21
1952,32
1953,19
1954,25
1955,32
1956,20
1957,18
1958,8
1959,12
1960,14
1961,16
1962,17
1963,14
1964,11
1965,8
1966,9
1967,0
1968,7
1969,0
1970,5
1971,10
1972,0
1973,5
1974,8
1975,9
1976,9
1977,10
1978,0
1979,6
1980,5
1981,8
1982,15
1983,6
1984,5
1985,10
1986,8
1987,6
1988,13
1989,25
1990,14
1991,23
1992,21
1993,16
1994,25
1995,18
1996,16
1997,14
1998,19
1999,29
2000,23
2001,22
2002,31
2003,32
2004,38
2005,38
2006,31
2007,36
2008,36
2009,43
2010,41
2011,26
2012,45
