year,Rich
1880,8
1881,12
1882,6
1883,0
1884,9
1885,5
1886,6
1887,8
1888,9
1889,5
1890,6
1891,0
1892,0
1893,6
1894,5
1895,0
1896,5
1897,0
1898,0
1899,6
1900,8
1901,6
1902,5
1903,5
1904,7
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,0
1912,0
1913,6
1914,11
1915,9
1916,11
1917,5
1918,6
1919,9
1920,6
1921,10
1922,8
1923,9
1924,5
1925,0
1926,5
1927,6
1928,0
1929,5
1930,0
1931,10
1932,7
1933,11
1934,0
1935,8
1936,5
1937,8
1938,8
1939,12
1940,16
1941,20
1942,26
1943,41
1944,32
1945,26
1946,54
1947,48
1948,52
1949,27
1950,22
1951,17
1952,35
1953,26
1954,23
1955,24
1956,70
1957,136
1958,170
1959,228
1960,234
1961,232
1962,257
1963,229
1964,224
1965,166
1966,124
1967,122
1968,116
1969,91
1970,64
1971,79
1972,40
1973,32
1974,22
1975,19
1976,11
1977,15
1978,19
1979,15
1980,10
1981,16
1982,13
1983,11
1984,12
1985,20
1986,14
1987,14
1988,20
1989,24
1990,21
1991,14
1992,17
1993,15
1994,18
1995,17
1996,24
1997,14
1998,14
1999,22
2000,18
2001,19
2002,22
2003,18
2004,19
2005,23
2006,27
2007,28
2008,10
2009,18
2010,11
2011,9
2012,9
