year,Rozella
1880,0
1881,6
1882,6
1883,5
1884,0
1885,5
1886,0
1887,0
1888,0
1889,7
1890,9
1891,7
1892,5
1893,5
1894,8
1895,7
1896,9
1897,9
1898,9
1899,12
1900,0
1901,14
1902,15
1903,7
1904,20
1905,15
1906,24
1907,13
1908,19
1909,16
1910,21
1911,24
1912,30
1913,30
1914,55
1915,49
1916,54
1917,53
1918,81
1919,60
1920,77
1921,73
1922,70
1923,82
1924,71
1925,61
1926,71
1927,87
1928,58
1929,65
1930,64
1931,61
1932,64
1933,47
1934,46
1935,53
1936,54
1937,47
1938,36
1939,44
1940,61
1941,47
1942,32
1943,29
1944,33
1945,28
1946,25
1947,42
1948,28
1949,36
1950,18
1951,19
1952,20
1953,14
1954,18
1955,20
1956,13
1957,14
1958,24
1959,9
1960,13
1961,19
1962,17
1963,10
1964,11
1965,10
1966,8
1967,8
1968,6
1969,5
1970,8
1971,15
1972,8
1973,6
1974,8
1975,5
1976,0
1977,5
1978,0
1979,0
1980,0
1981,9
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,5
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,6
2008,5
2009,0
2010,6
2011,0
2012,7
