year,Reed
1880,0
1881,8
1882,9
1883,7
1884,9
1885,6
1886,5
1887,5
1888,15
1889,12
1890,13
1891,10
1892,15
1893,11
1894,12
1895,19
1896,16
1897,12
1898,20
1899,9
1900,14
1901,11
1902,21
1903,21
1904,17
1905,20
1906,19
1907,18
1908,18
1909,16
1910,30
1911,29
1912,43
1913,67
1914,66
1915,101
1916,100
1917,127
1918,123
1919,104
1920,123
1921,147
1922,136
1923,119
1924,108
1925,114
1926,144
1927,109
1928,120
1929,111
1930,105
1931,108
1932,88
1933,86
1934,87
1935,85
1936,78
1937,67
1938,98
1939,73
1940,91
1941,96
1942,131
1943,111
1944,109
1945,112
1946,135
1947,160
1948,172
1949,268
1950,203
1951,240
1952,252
1953,263
1954,252
1955,269
1956,281
1957,285
1958,250
1959,200
1960,214
1961,179
1962,197
1963,166
1964,190
1965,158
1966,153
1967,148
1968,147
1969,156
1970,174
1971,128
1972,122
1973,136
1974,148
1975,130
1976,140
1977,146
1978,190
1979,147
1980,202
1981,195
1982,216
1983,211
1984,210
1985,235
1986,240
1987,246
1988,255
1989,226
1990,238
1991,282
1992,383
1993,467
1994,553
1995,578
1996,583
1997,533
1998,547
1999,580
2000,552
2001,523
2002,486
2003,493
2004,527
2005,545
2006,586
2007,631
2008,744
2009,709
2010,781
2011,841
2012,838
