year,Rollie
1880,16
1881,14
1882,14
1883,13
1884,21
1885,21
1886,18
1887,16
1888,16
1889,18
1890,16
1891,12
1892,18
1893,22
1894,16
1895,21
1896,14
1897,12
1898,25
1899,19
1900,15
1901,8
1902,11
1903,19
1904,7
1905,17
1906,10
1907,16
1908,12
1909,18
1910,17
1911,14
1912,19
1913,32
1914,47
1915,47
1916,53
1917,66
1918,56
1919,60
1920,53
1921,49
1922,50
1923,61
1924,53
1925,52
1926,49
1927,49
1928,55
1929,49
1930,53
1931,41
1932,51
1933,52
1934,45
1935,57
1936,39
1937,54
1938,50
1939,51
1940,52
1941,41
1942,63
1943,54
1944,45
1945,43
1946,46
1947,67
1948,44
1949,37
1950,46
1951,51
1952,41
1953,40
1954,43
1955,48
1956,38
1957,51
1958,38
1959,36
1960,32
1961,27
1962,36
1963,17
1964,32
1965,27
1966,14
1967,14
1968,27
1969,14
1970,22
1971,15
1972,11
1973,19
1974,11
1975,18
1976,15
1977,15
1978,14
1979,9
1980,9
1981,13
1982,17
1983,11
1984,6
1985,8
1986,6
1987,8
1988,12
1989,10
1990,7
1991,6
1992,7
1993,7
1994,9
1995,6
1996,5
1997,8
1998,8
1999,8
2000,5
2001,5
2002,0
2003,10
2004,5
2005,7
2006,7
2007,12
2008,5
2009,6
2010,0
2011,5
2012,9
