year,Rebecca (F),Rebecca (M)
1880,0.001171,0.000000
1881,0.001173,0.000000
1882,0.001169,0.000000
1883,0.001125,0.000000
1884,0.001142,0.000000
1885,0.001254,0.000000
1886,0.001390,0.000000
1887,0.001112,0.000000
1888,0.001125,0.000000
1889,0.001166,0.000000
1890,0.001241,0.000000
1891,0.001116,0.000000
1892,0.001056,0.000000
1893,0.001101,0.000000
1894,0.001178,0.000000
1895,0.001100,0.000000
1896,0.001038,0.000000
1897,0.001084,0.000000
1898,0.000986,0.000000
1899,0.001023,0.000000
1900,0.001117,0.000000
1901,0.000989,0.000000
1902,0.000988,0.000000
1903,0.000876,0.000000
1904,0.000919,0.000000
1905,0.000948,0.000000
1906,0.000927,0.000000
1907,0.000859,0.000000
1908,0.000921,0.000000
1909,0.000919,0.000014
1910,0.000879,0.000000
1911,0.000847,0.000000
1912,0.000763,0.000000
1913,0.000650,0.000004
1914,0.000628,0.000005
1915,0.000638,0.000000
1916,0.000585,0.000000
1917,0.000605,0.000000
1918,0.000572,0.000005
1919,0.000600,0.000000
1920,0.000561,0.000004
1921,0.000545,0.000000
1922,0.000566,0.000003
1923,0.000552,0.000003
1924,0.000570,0.000003
1925,0.000516,0.000003
1926,0.000499,0.000002
1927,0.000543,0.000003
1928,0.000496,0.000000
1929,0.000496,0.000000
1930,0.000501,0.000003
1931,0.000516,0.000004
1932,0.000563,0.000003
1933,0.000537,0.000000
1934,0.000559,0.000003
1935,0.000578,0.000000
1936,0.000578,0.000005
1937,0.000567,0.000004
1938,0.000712,0.000004
1939,0.000815,0.000004
1940,0.001109,0.000005
1941,0.001201,0.000003
1942,0.001186,0.000004
1943,0.001158,0.000002
1944,0.001207,0.000004
1945,0.001256,0.000002
1946,0.001515,0.000003
1947,0.001757,0.000004
1948,0.001969,0.000005
1949,0.002520,0.000005
1950,0.002689,0.000005
1951,0.002969,0.000004
1952,0.003219,0.000006
1953,0.003365,0.000005
1954,0.003319,0.000005
1955,0.003089,0.000005
1956,0.002953,0.000005
1957,0.002735,0.000007
1958,0.002518,0.000004
1959,0.002520,0.000005
1960,0.002400,0.000006
1961,0.002472,0.000007
1962,0.002331,0.000005
1963,0.002373,0.000007
1964,0.002437,0.000006
1965,0.002816,0.000007
1966,0.002813,0.000011
1967,0.002892,0.000009
1968,0.003027,0.000009
1969,0.003150,0.000011
1970,0.003010,0.000008
1971,0.003553,0.000013
1972,0.004215,0.000020
1973,0.004929,0.000019
1974,0.004989,0.000016
1975,0.004612,0.000023
1976,0.004775,0.000017
1977,0.004468,0.000018
1978,0.004348,0.000017
1979,0.004373,0.000016
1980,0.004438,0.000014
1981,0.004838,0.000019
1982,0.004485,0.000018
1983,0.004250,0.000017
1984,0.003826,0.000013
1985,0.003561,0.000015
1986,0.003316,0.000016
1987,0.003227,0.000013
1988,0.003215,0.000011
1989,0.003234,0.000022
1990,0.003461,0.000010
1991,0.003414,0.000008
1992,0.003414,0.000005
1993,0.003267,0.000005
1994,0.003035,0.000004
1995,0.002705,0.000004
1996,0.002913,0.000003
1997,0.002653,0.000003
1998,0.002290,0.000003
1999,0.002011,0.000003
2000,0.001868,0.000002
2001,0.001571,0.000002
2002,0.001395,0.000002
2003,0.001278,0.000002
2004,0.001166,0.000006
2005,0.001040,0.000002
2006,0.000900,0.000002
2007,0.000805,0.000001
2008,0.000740,0.000002
2009,0.000645,0.000001
2010,0.000619,0.000000
2011,0.000578,0.000000
2012,0.000551,0.000000
2013,0.000491,0.000000
