year,Reece
1880,5
1881,9
1882,6
1883,10
1884,6
1885,9
1886,0
1887,9
1888,7
1889,0
1890,0
1891,5
1892,5
1893,5
1894,0
1895,5
1896,0
1897,0
1898,6
1899,0
1900,6
1901,5
1902,7
1903,7
1904,0
1905,6
1906,7
1907,5
1908,7
1909,10
1910,10
1911,11
1912,19
1913,24
1914,23
1915,42
1916,53
1917,43
1918,39
1919,41
1920,36
1921,42
1922,51
1923,43
1924,48
1925,40
1926,45
1927,41
1928,47
1929,40
1930,32
1931,45
1932,33
1933,36
1934,38
1935,39
1936,34
1937,24
1938,29
1939,31
1940,27
1941,24
1942,28
1943,19
1944,32
1945,29
1946,31
1947,32
1948,32
1949,21
1950,24
1951,21
1952,25
1953,36
1954,22
1955,26
1956,26
1957,31
1958,28
1959,29
1960,29
1961,21
1962,19
1963,22
1964,23
1965,33
1966,39
1967,24
1968,31
1969,29
1970,36
1971,36
1972,36
1973,31
1974,17
1975,23
1976,27
1977,27
1978,16
1979,33
1980,40
1981,31
1982,40
1983,42
1984,51
1985,67
1986,107
1987,115
1988,152
1989,140
1990,165
1991,166
1992,216
1993,220
1994,258
1995,271
1996,284
1997,327
1998,528
1999,642
2000,762
2001,901
2002,932
2003,937
2004,914
2005,997
2006,924
2007,929
2008,959
2009,921
2010,832
2011,834
2012,752
