year,Rebekah
1880,0
1881,0
1882,0
1883,7
1884,6
1885,0
1886,0
1887,5
1888,0
1889,0
1890,0
1891,6
1892,8
1893,5
1894,9
1895,7
1896,6
1897,0
1898,6
1899,8
1900,0
1901,5
1902,7
1903,0
1904,0
1905,0
1906,8
1907,7
1908,5
1909,0
1910,6
1911,9
1912,7
1913,19
1914,18
1915,27
1916,20
1917,19
1918,33
1919,25
1920,19
1921,18
1922,25
1923,20
1924,18
1925,27
1926,20
1927,16
1928,15
1929,13
1930,18
1931,12
1932,21
1933,26
1934,23
1935,25
1936,25
1937,21
1938,26
1939,25
1940,40
1941,63
1942,39
1943,44
1944,41
1945,54
1946,68
1947,88
1948,83
1949,96
1950,98
1951,146
1952,173
1953,189
1954,197
1955,202
1956,210
1957,208
1958,197
1959,202
1960,194
1961,187
1962,213
1963,191
1964,216
1965,240
1966,258
1967,285
1968,273
1969,343
1970,375
1971,505
1972,539
1973,762
1974,1030
1975,1071
1976,1193
1977,1328
1978,1354
1979,1519
1980,1739
1981,1913
1982,2067
1983,1906
1984,1814
1985,1796
1986,1840
1987,1740
1988,1700
1989,1881
1990,2047
1991,2064
1992,2105
1993,2108
1994,2159
1995,2069
1996,2221
1997,2055
1998,2027
1999,2065
2000,1894
2001,1736
2002,1570
2003,1499
2004,1388
2005,1280
2006,1224
2007,1100
2008,941
2009,885
2010,791
2011,714
2012,711
