year,Raquel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,5
1905,7
1906,5
1907,0
1908,0
1909,0
1910,8
1911,8
1912,8
1913,12
1914,9
1915,18
1916,14
1917,16
1918,16
1919,18
1920,20
1921,27
1922,29
1923,28
1924,45
1925,35
1926,50
1927,68
1928,90
1929,105
1930,125
1931,118
1932,71
1933,70
1934,86
1935,73
1936,79
1937,66
1938,59
1939,73
1940,85
1941,71
1942,50
1943,83
1944,76
1945,67
1946,93
1947,103
1948,115
1949,118
1950,110
1951,107
1952,137
1953,150
1954,155
1955,160
1956,171
1957,166
1958,208
1959,205
1960,196
1961,232
1962,204
1963,220
1964,223
1965,245
1966,271
1967,484
1968,941
1969,1214
1970,1475
1971,1207
1972,1013
1973,934
1974,860
1975,925
1976,803
1977,805
1978,810
1979,819
1980,837
1981,912
1982,881
1983,832
1984,811
1985,1095
1986,992
1987,1179
1988,1162
1989,1174
1990,1205
1991,1286
1992,1162
1993,1230
1994,1113
1995,1083
1996,1049
1997,1024
1998,917
1999,976
2000,900
2001,850
2002,753
2003,770
2004,693
2005,648
2006,604
2007,649
2008,537
2009,464
2010,485
2011,446
2012,455
