year,Reta
1880,5
1881,0
1882,0
1883,6
1884,0
1885,5
1886,5
1887,0
1888,12
1889,17
1890,15
1891,11
1892,24
1893,14
1894,30
1895,28
1896,42
1897,30
1898,21
1899,21
1900,33
1901,38
1902,32
1903,25
1904,23
1905,37
1906,36
1907,48
1908,49
1909,40
1910,54
1911,42
1912,69
1913,61
1914,84
1915,132
1916,147
1917,122
1918,131
1919,147
1920,172
1921,149
1922,166
1923,128
1924,167
1925,161
1926,121
1927,144
1928,151
1929,151
1930,170
1931,174
1932,160
1933,166
1934,180
1935,176
1936,151
1937,142
1938,163
1939,167
1940,156
1941,142
1942,132
1943,164
1944,149
1945,127
1946,192
1947,174
1948,159
1949,169
1950,166
1951,151
1952,133
1953,141
1954,163
1955,173
1956,149
1957,132
1958,128
1959,113
1960,80
1961,81
1962,74
1963,49
1964,47
1965,43
1966,36
1967,33
1968,30
1969,22
1970,33
1971,17
1972,20
1973,22
1974,16
1975,19
1976,17
1977,11
1978,8
1979,13
1980,17
1981,11
1982,9
1983,15
1984,9
1985,5
1986,6
1987,8
1988,6
1989,9
1990,6
1991,7
1992,5
1993,9
1994,6
1995,0
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
