year,Russ
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,6
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,7
1914,7
1915,7
1916,14
1917,10
1918,11
1919,10
1920,8
1921,13
1922,11
1923,11
1924,11
1925,9
1926,12
1927,9
1928,11
1929,11
1930,9
1931,14
1932,13
1933,9
1934,20
1935,11
1936,22
1937,27
1938,22
1939,25
1940,35
1941,34
1942,43
1943,58
1944,49
1945,73
1946,97
1947,101
1948,70
1949,64
1950,53
1951,40
1952,50
1953,57
1954,82
1955,96
1956,167
1957,222
1958,298
1959,350
1960,342
1961,342
1962,301
1963,291
1964,265
1965,181
1966,135
1967,123
1968,124
1969,116
1970,127
1971,103
1972,73
1973,66
1974,56
1975,52
1976,49
1977,49
1978,48
1979,50
1980,60
1981,57
1982,45
1983,45
1984,31
1985,34
1986,44
1987,34
1988,33
1989,20
1990,24
1991,30
1992,20
1993,18
1994,14
1995,14
1996,16
1997,13
1998,9
1999,12
2000,9
2001,9
2002,7
2003,7
2004,7
2005,9
2006,5
2007,12
2008,0
2009,5
2010,7
2011,11
2012,12
