year,Rennie
1880,5
1881,0
1882,5
1883,5
1884,0
1885,12
1886,0
1887,0
1888,0
1889,0
1890,0
1891,7
1892,6
1893,0
1894,0
1895,0
1896,0
1897,0
1898,6
1899,0
1900,5
1901,6
1902,0
1903,7
1904,0
1905,6
1906,0
1907,0
1908,6
1909,0
1910,8
1911,0
1912,0
1913,6
1914,8
1915,17
1916,19
1917,14
1918,21
1919,21
1920,18
1921,23
1922,27
1923,5
1924,16
1925,15
1926,18
1927,20
1928,15
1929,9
1930,15
1931,18
1932,5
1933,7
1934,15
1935,18
1936,18
1937,16
1938,24
1939,23
1940,22
1941,13
1942,24
1943,24
1944,18
1945,27
1946,25
1947,27
1948,42
1949,25
1950,30
1951,29
1952,36
1953,31
1954,33
1955,37
1956,48
1957,40
1958,27
1959,26
1960,38
1961,42
1962,40
1963,40
1964,28
1965,37
1966,31
1967,15
1968,24
1969,24
1970,24
1971,26
1972,18
1973,21
1974,29
1975,20
1976,18
1977,23
1978,8
1979,18
1980,14
1981,15
1982,14
1983,13
1984,12
1985,14
1986,5
1987,15
1988,5
1989,13
1990,12
1991,12
1992,8
1993,12
1994,6
1995,7
1996,11
1997,5
1998,13
1999,0
2000,0
2001,0
2002,7
2003,9
2004,5
2005,5
2006,0
2007,7
2008,0
2009,0
2010,0
2011,0
2012,0
