year,Roselia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,6
1909,6
1910,0
1911,5
1912,0
1913,6
1914,5
1915,0
1916,8
1917,0
1918,0
1919,9
1920,6
1921,9
1922,6
1923,0
1924,5
1925,8
1926,0
1927,9
1928,7
1929,9
1930,6
1931,0
1932,5
1933,7
1934,7
1935,0
1936,7
1937,6
1938,8
1939,5
1940,0
1941,5
1942,0
1943,6
1944,0
1945,5
1946,0
1947,9
1948,6
1949,7
1950,0
1951,0
1952,0
1953,5
1954,10
1955,0
1956,0
1957,0
1958,0
1959,6
1960,7
1961,8
1962,0
1963,10
1964,6
1965,0
1966,8
1967,7
1968,0
1969,0
1970,5
1971,5
1972,9
1973,0
1974,6
1975,13
1976,10
1977,9
1978,8
1979,7
1980,11
1981,8
1982,10
1983,9
1984,0
1985,7
1986,11
1987,7
1988,13
1989,10
1990,10
1991,15
1992,12
1993,10
1994,15
1995,9
1996,12
1997,12
1998,15
1999,5
2000,12
2001,10
2002,7
2003,8
2004,8
2005,0
2006,0
2007,14
2008,10
2009,12
2010,7
2011,18
2012,7
