year,Robina
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,6
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,6
1902,0
1903,5
1904,0
1905,0
1906,0
1907,6
1908,0
1909,0
1910,8
1911,6
1912,7
1913,5
1914,0
1915,7
1916,12
1917,0
1918,10
1919,7
1920,6
1921,5
1922,8
1923,6
1924,10
1925,0
1926,9
1927,0
1928,10
1929,5
1930,5
1931,6
1932,9
1933,5
1934,12
1935,0
1936,0
1937,0
1938,0
1939,6
1940,6
1941,6
1942,6
1943,5
1944,0
1945,7
1946,6
1947,12
1948,6
1949,0
1950,11
1951,9
1952,12
1953,12
1954,20
1955,17
1956,18
1957,10
1958,9
1959,14
1960,14
1961,15
1962,15
1963,8
1964,18
1965,8
1966,8
1967,11
1968,6
1969,6
1970,18
1971,18
1972,11
1973,7
1974,9
1975,10
1976,7
1977,6
1978,6
1979,7
1980,7
1981,6
1982,7
1983,0
1984,5
1985,6
1986,0
1987,0
1988,5
1989,5
1990,0
1991,6
1992,0
1993,6
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
