year,Reno
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,7
1887,0
1888,0
1889,0
1890,7
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,7
1905,5
1906,5
1907,0
1908,0
1909,7
1910,0
1911,10
1912,27
1913,26
1914,30
1915,55
1916,49
1917,57
1918,41
1919,50
1920,48
1921,58
1922,59
1923,53
1924,50
1925,54
1926,64
1927,27
1928,43
1929,37
1930,45
1931,28
1932,27
1933,24
1934,25
1935,27
1936,34
1937,19
1938,23
1939,13
1940,17
1941,17
1942,20
1943,21
1944,24
1945,16
1946,17
1947,18
1948,16
1949,20
1950,26
1951,22
1952,20
1953,23
1954,18
1955,39
1956,31
1957,39
1958,34
1959,28
1960,46
1961,50
1962,36
1963,51
1964,31
1965,38
1966,28
1967,21
1968,27
1969,34
1970,32
1971,29
1972,36
1973,36
1974,30
1975,32
1976,31
1977,30
1978,30
1979,35
1980,28
1981,33
1982,20
1983,20
1984,34
1985,16
1986,30
1987,38
1988,21
1989,35
1990,33
1991,35
1992,40
1993,89
1994,128
1995,122
1996,122
1997,112
1998,66
1999,73
2000,57
2001,52
2002,30
2003,38
2004,36
2005,28
2006,36
2007,33
2008,22
2009,17
2010,32
2011,30
2012,29
