year,Roseanna
1880,5
1881,0
1882,5
1883,10
1884,5
1885,7
1886,7
1887,9
1888,9
1889,6
1890,5
1891,0
1892,12
1893,9
1894,5
1895,0
1896,7
1897,0
1898,9
1899,0
1900,7
1901,9
1902,8
1903,7
1904,7
1905,6
1906,7
1907,5
1908,13
1909,7
1910,10
1911,14
1912,18
1913,15
1914,26
1915,28
1916,25
1917,20
1918,29
1919,26
1920,37
1921,35
1922,35
1923,39
1924,44
1925,43
1926,42
1927,50
1928,47
1929,33
1930,31
1931,26
1932,39
1933,35
1934,28
1935,31
1936,29
1937,40
1938,23
1939,30
1940,31
1941,19
1942,42
1943,42
1944,22
1945,29
1946,35
1947,38
1948,42
1949,129
1950,274
1951,141
1952,126
1953,79
1954,71
1955,79
1956,72
1957,57
1958,65
1959,59
1960,84
1961,57
1962,47
1963,62
1964,58
1965,72
1966,55
1967,65
1968,73
1969,48
1970,68
1971,42
1972,61
1973,47
1974,70
1975,58
1976,60
1977,55
1978,68
1979,53
1980,63
1981,59
1982,155
1983,165
1984,131
1985,92
1986,93
1987,102
1988,85
1989,97
1990,79
1991,57
1992,37
1993,47
1994,36
1995,43
1996,49
1997,25
1998,30
1999,26
2000,30
2001,32
2002,32
2003,29
2004,20
2005,20
2006,30
2007,19
2008,16
2009,19
2010,16
2011,10
2012,21
