year,Rosaria
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,8
1904,0
1905,0
1906,7
1907,12
1908,0
1909,13
1910,12
1911,12
1912,17
1913,25
1914,29
1915,35
1916,50
1917,38
1918,51
1919,38
1920,37
1921,49
1922,40
1923,57
1924,53
1925,38
1926,44
1927,54
1928,49
1929,39
1930,33
1931,36
1932,31
1933,24
1934,32
1935,20
1936,19
1937,23
1938,24
1939,21
1940,20
1941,20
1942,14
1943,14
1944,13
1945,19
1946,12
1947,9
1948,19
1949,23
1950,16
1951,26
1952,13
1953,16
1954,14
1955,21
1956,20
1957,18
1958,24
1959,20
1960,23
1961,12
1962,13
1963,17
1964,14
1965,17
1966,26
1967,33
1968,25
1969,27
1970,20
1971,22
1972,24
1973,32
1974,25
1975,22
1976,24
1977,21
1978,18
1979,18
1980,20
1981,17
1982,13
1983,18
1984,7
1985,6
1986,13
1987,14
1988,13
1989,11
1990,12
1991,11
1992,8
1993,7
1994,8
1995,11
1996,8
1997,12
1998,15
1999,9
2000,13
2001,15
2002,12
2003,15
2004,16
2005,19
2006,7
2007,10
2008,6
2009,15
2010,6
2011,13
2012,17
