year,Rosco
1880,0
1881,0
1882,0
1883,8
1884,8
1885,0
1886,6
1887,0
1888,7
1889,6
1890,5
1891,0
1892,0
1893,6
1894,5
1895,6
1896,6
1897,7
1898,0
1899,0
1900,0
1901,6
1902,5
1903,10
1904,0
1905,9
1906,5
1907,7
1908,6
1909,8
1910,9
1911,9
1912,22
1913,21
1914,20
1915,26
1916,26
1917,32
1918,26
1919,32
1920,36
1921,33
1922,42
1923,36
1924,35
1925,30
1926,24
1927,36
1928,33
1929,25
1930,30
1931,22
1932,19
1933,20
1934,32
1935,19
1936,22
1937,15
1938,19
1939,11
1940,16
1941,13
1942,12
1943,20
1944,10
1945,9
1946,14
1947,9
1948,12
1949,13
1950,12
1951,15
1952,15
1953,11
1954,10
1955,14
1956,14
1957,12
1958,5
1959,13
1960,12
1961,8
1962,6
1963,6
1964,7
1965,10
1966,7
1967,7
1968,0
1969,0
1970,0
1971,0
1972,6
1973,10
1974,0
1975,0
1976,8
1977,10
1978,7
1979,5
1980,5
1981,0
1982,5
1983,5
1984,0
1985,0
1986,5
1987,6
1988,8
1989,7
1990,0
1991,0
1992,0
1993,6
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,8
2006,6
2007,8
2008,5
2009,6
2010,8
2011,11
2012,5
