year,Rod
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,0
1912,0
1913,0
1914,5
1915,6
1916,6
1917,0
1918,9
1919,0
1920,8
1921,7
1922,0
1923,8
1924,0
1925,8
1926,0
1927,11
1928,16
1929,14
1930,17
1931,12
1932,16
1933,27
1934,15
1935,28
1936,25
1937,29
1938,22
1939,41
1940,35
1941,37
1942,58
1943,71
1944,75
1945,94
1946,171
1947,191
1948,152
1949,106
1950,82
1951,79
1952,93
1953,109
1954,141
1955,158
1956,211
1957,324
1958,347
1959,483
1960,495
1961,419
1962,426
1963,405
1964,367
1965,493
1966,353
1967,335
1968,233
1969,220
1970,196
1971,156
1972,121
1973,83
1974,80
1975,77
1976,58
1977,59
1978,47
1979,50
1980,41
1981,34
1982,26
1983,35
1984,35
1985,28
1986,29
1987,26
1988,35
1989,28
1990,36
1991,17
1992,31
1993,23
1994,25
1995,26
1996,15
1997,23
1998,17
1999,16
2000,18
2001,13
2002,11
2003,16
2004,8
2005,10
2006,12
2007,13
2008,7
2009,5
2010,6
2011,7
2012,8
