year,Roby
1880,0
1881,0
1882,0
1883,0
1884,6
1885,0
1886,6
1887,0
1888,6
1889,0
1890,7
1891,0
1892,0
1893,0
1894,5
1895,6
1896,8
1897,0
1898,8
1899,6
1900,5
1901,8
1902,0
1903,0
1904,12
1905,0
1906,0
1907,6
1908,9
1909,6
1910,6
1911,9
1912,6
1913,23
1914,24
1915,33
1916,36
1917,26
1918,49
1919,39
1920,37
1921,34
1922,32
1923,29
1924,36
1925,35
1926,28
1927,32
1928,17
1929,26
1930,22
1931,23
1932,26
1933,13
1934,36
1935,29
1936,30
1937,24
1938,25
1939,19
1940,27
1941,20
1942,25
1943,27
1944,31
1945,20
1946,33
1947,48
1948,33
1949,35
1950,17
1951,18
1952,15
1953,30
1954,36
1955,24
1956,42
1957,29
1958,32
1959,30
1960,42
1961,40
1962,37
1963,37
1964,50
1965,38
1966,27
1967,24
1968,31
1969,37
1970,33
1971,27
1972,33
1973,26
1974,27
1975,22
1976,22
1977,21
1978,19
1979,25
1980,15
1981,16
1982,17
1983,11
1984,8
1985,13
1986,11
1987,12
1988,24
1989,16
1990,21
1991,13
1992,14
1993,9
1994,8
1995,14
1996,21
1997,16
1998,11
1999,10
2000,18
2001,11
2002,18
2003,5
2004,18
2005,8
2006,8
2007,10
2008,11
2009,15
2010,12
2011,12
2012,0
