year,Rosey
1880,0
1881,5
1882,0
1883,0
1884,6
1885,6
1886,8
1887,0
1888,6
1889,10
1890,14
1891,0
1892,7
1893,5
1894,8
1895,0
1896,5
1897,7
1898,6
1899,0
1900,0
1901,8
1902,14
1903,8
1904,7
1905,6
1906,6
1907,9
1908,9
1909,0
1910,6
1911,5
1912,10
1913,11
1914,12
1915,11
1916,11
1917,8
1918,13
1919,17
1920,18
1921,15
1922,20
1923,13
1924,16
1925,13
1926,24
1927,14
1928,17
1929,8
1930,13
1931,9
1932,18
1933,16
1934,11
1935,9
1936,10
1937,11
1938,7
1939,11
1940,8
1941,15
1942,11
1943,8
1944,8
1945,7
1946,13
1947,12
1948,13
1949,15
1950,8
1951,13
1952,12
1953,11
1954,18
1955,18
1956,9
1957,6
1958,14
1959,11
1960,10
1961,12
1962,11
1963,9
1964,7
1965,6
1966,6
1967,7
1968,5
1969,0
1970,5
1971,0
1972,7
1973,0
1974,0
1975,8
1976,5
1977,7
1978,0
1979,6
1980,6
1981,0
1982,5
1983,0
1984,0
1985,6
1986,5
1987,6
1988,0
1989,9
1990,0
1991,0
1992,0
1993,5
1994,9
1995,11
1996,0
1997,6
1998,0
1999,0
2000,5
2001,0
2002,6
2003,7
2004,7
2005,12
2006,0
2007,5
2008,6
2009,6
2010,0
2011,7
2012,15
