year,Reese
1880,6
1881,8
1882,8
1883,8
1884,10
1885,8
1886,10
1887,0
1888,7
1889,16
1890,0
1891,11
1892,11
1893,12
1894,9
1895,8
1896,8
1897,15
1898,9
1899,8
1900,10
1901,9
1902,12
1903,5
1904,11
1905,13
1906,8
1907,8
1908,15
1909,12
1910,26
1911,15
1912,22
1913,27
1914,41
1915,48
1916,52
1917,50
1918,45
1919,50
1920,44
1921,66
1922,49
1923,61
1924,65
1925,46
1926,49
1927,50
1928,54
1929,40
1930,39
1931,39
1932,41
1933,27
1934,30
1935,34
1936,33
1937,42
1938,36
1939,36
1940,34
1941,25
1942,41
1943,52
1944,40
1945,31
1946,42
1947,38
1948,42
1949,52
1950,51
1951,37
1952,43
1953,48
1954,48
1955,56
1956,58
1957,62
1958,48
1959,55
1960,43
1961,50
1962,55
1963,42
1964,47
1965,61
1966,81
1967,68
1968,66
1969,46
1970,69
1971,54
1972,48
1973,36
1974,55
1975,40
1976,50
1977,53
1978,44
1979,38
1980,53
1981,48
1982,52
1983,46
1984,54
1985,88
1986,88
1987,87
1988,105
1989,131
1990,132
1991,131
1992,180
1993,186
1994,196
1995,220
1996,250
1997,293
1998,440
1999,671
2000,841
2001,949
2002,1289
2003,1705
2004,1938
2005,2112
2006,2830
2007,2947
2008,2834
2009,2807
2010,2795
2011,2847
2012,2931
