year,Rosalie
1880,39
1881,26
1882,40
1883,23
1884,53
1885,49
1886,49
1887,57
1888,63
1889,58
1890,57
1891,71
1892,84
1893,86
1894,81
1895,86
1896,95
1897,102
1898,101
1899,103
1900,121
1901,118
1902,155
1903,127
1904,173
1905,152
1906,164
1907,184
1908,180
1909,197
1910,281
1911,309
1912,433
1913,462
1914,584
1915,840
1916,787
1917,809
1918,895
1919,910
1920,984
1921,1075
1922,1103
1923,1160
1924,1153
1925,1093
1926,1158
1927,1177
1928,1240
1929,1166
1930,1119
1931,1007
1932,1103
1933,925
1934,906
1935,784
1936,849
1937,1126
1938,3771
1939,2169
1940,1746
1941,1513
1942,1551
1943,1430
1944,1097
1945,975
1946,1128
1947,1078
1948,1116
1949,975
1950,874
1951,867
1952,765
1953,748
1954,675
1955,624
1956,586
1957,567
1958,541
1959,545
1960,521
1961,507
1962,472
1963,460
1964,394
1965,317
1966,296
1967,244
1968,220
1969,214
1970,179
1971,172
1972,161
1973,172
1974,167
1975,150
1976,171
1977,153
1978,168
1979,186
1980,161
1981,184
1982,195
1983,155
1984,167
1985,160
1986,159
1987,145
1988,179
1989,167
1990,158
1991,164
1992,149
1993,143
1994,151
1995,120
1996,119
1997,137
1998,121
1999,142
2000,131
2001,133
2002,143
2003,136
2004,134
2005,145
2006,161
2007,132
2008,165
2009,336
2010,496
2011,532
2012,769
