year,Roswell
1880,5
1881,7
1882,8
1883,5
1884,5
1885,0
1886,9
1887,0
1888,0
1889,0
1890,0
1891,20
1892,14
1893,0
1894,10
1895,5
1896,6
1897,17
1898,7
1899,9
1900,0
1901,5
1902,0
1903,0
1904,5
1905,6
1906,7
1907,6
1908,9
1909,0
1910,7
1911,5
1912,22
1913,24
1914,28
1915,34
1916,28
1917,35
1918,45
1919,48
1920,42
1921,33
1922,33
1923,24
1924,25
1925,28
1926,37
1927,30
1928,22
1929,28
1930,15
1931,24
1932,13
1933,11
1934,13
1935,21
1936,20
1937,16
1938,20
1939,14
1940,10
1941,11
1942,25
1943,17
1944,13
1945,16
1946,17
1947,19
1948,12
1949,14
1950,7
1951,11
1952,14
1953,13
1954,17
1955,9
1956,9
1957,0
1958,13
1959,9
1960,8
1961,11
1962,7
1963,8
1964,7
1965,6
1966,5
1967,7
1968,9
1969,7
1970,7
1971,8
1972,6
1973,8
1974,0
1975,0
1976,0
1977,0
1978,0
1979,8
1980,5
1981,0
1982,5
1983,0
1984,0
1985,7
1986,0
1987,8
1988,6
1989,6
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,5
1997,0
1998,6
1999,0
2000,0
2001,0
2002,7
2003,5
2004,5
2005,0
2006,0
2007,5
2008,0
2009,0
2010,6
2011,0
2012,5
