year,Retha
1880,0
1881,0
1882,0
1883,0
1884,6
1885,5
1886,0
1887,9
1888,0
1889,10
1890,10
1891,5
1892,9
1893,13
1894,13
1895,17
1896,20
1897,23
1898,35
1899,33
1900,23
1901,48
1902,41
1903,27
1904,46
1905,31
1906,52
1907,54
1908,54
1909,69
1910,72
1911,77
1912,92
1913,102
1914,93
1915,155
1916,160
1917,190
1918,218
1919,213
1920,187
1921,214
1922,215
1923,205
1924,252
1925,208
1926,202
1927,211
1928,198
1929,186
1930,173
1931,191
1932,183
1933,212
1934,206
1935,194
1936,166
1937,194
1938,173
1939,175
1940,197
1941,175
1942,161
1943,173
1944,154
1945,166
1946,162
1947,158
1948,172
1949,185
1950,188
1951,177
1952,174
1953,161
1954,161
1955,166
1956,142
1957,152
1958,148
1959,125
1960,132
1961,121
1962,125
1963,97
1964,74
1965,79
1966,66
1967,64
1968,65
1969,49
1970,48
1971,30
1972,38
1973,29
1974,28
1975,25
1976,18
1977,12
1978,15
1979,14
1980,23
1981,15
1982,10
1983,15
1984,11
1985,17
1986,17
1987,12
1988,10
1989,13
1990,11
1991,9
1992,6
1993,5
1994,5
1995,5
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
