year,Rosalee
1880,5
1881,0
1882,0
1883,0
1884,0
1885,9
1886,5
1887,0
1888,10
1889,0
1890,16
1891,12
1892,6
1893,9
1894,13
1895,12
1896,18
1897,21
1898,16
1899,19
1900,24
1901,10
1902,24
1903,19
1904,32
1905,33
1906,22
1907,34
1908,39
1909,33
1910,46
1911,35
1912,61
1913,73
1914,100
1915,108
1916,101
1917,149
1918,140
1919,141
1920,182
1921,156
1922,145
1923,167
1924,152
1925,137
1926,152
1927,173
1928,161
1929,178
1930,177
1931,171
1932,169
1933,151
1934,158
1935,149
1936,130
1937,153
1938,274
1939,206
1940,200
1941,186
1942,201
1943,199
1944,169
1945,144
1946,157
1947,163
1948,142
1949,135
1950,109
1951,120
1952,86
1953,75
1954,47
1955,72
1956,64
1957,64
1958,51
1959,65
1960,47
1961,46
1962,40
1963,58
1964,48
1965,49
1966,29
1967,33
1968,34
1969,42
1970,23
1971,31
1972,29
1973,32
1974,23
1975,40
1976,41
1977,32
1978,48
1979,31
1980,39
1981,46
1982,37
1983,41
1984,37
1985,34
1986,44
1987,45
1988,31
1989,37
1990,35
1991,34
1992,29
1993,37
1994,29
1995,23
1996,32
1997,34
1998,28
1999,41
2000,30
2001,40
2002,36
2003,41
2004,38
2005,46
2006,42
2007,40
2008,38
2009,59
2010,100
2011,102
2012,136
