year,Randle
1880,0
1881,0
1882,6
1883,0
1884,0
1885,5
1886,0
1887,0
1888,0
1889,0
1890,5
1891,7
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,6
1912,8
1913,6
1914,10
1915,9
1916,17
1917,19
1918,16
1919,13
1920,18
1921,14
1922,24
1923,23
1924,18
1925,9
1926,14
1927,12
1928,18
1929,23
1930,14
1931,13
1932,17
1933,16
1934,24
1935,22
1936,19
1937,15
1938,21
1939,23
1940,22
1941,40
1942,29
1943,46
1944,43
1945,40
1946,45
1947,51
1948,48
1949,59
1950,63
1951,68
1952,60
1953,78
1954,83
1955,65
1956,43
1957,63
1958,67
1959,76
1960,54
1961,60
1962,45
1963,54
1964,59
1965,45
1966,58
1967,42
1968,51
1969,45
1970,34
1971,43
1972,28
1973,30
1974,21
1975,22
1976,22
1977,34
1978,20
1979,21
1980,28
1981,34
1982,23
1983,27
1984,27
1985,29
1986,31
1987,29
1988,24
1989,22
1990,18
1991,20
1992,19
1993,18
1994,17
1995,11
1996,13
1997,6
1998,18
1999,14
2000,13
2001,11
2002,13
2003,8
2004,11
2005,13
2006,12
2007,0
2008,6
2009,5
2010,9
2011,7
2012,7
