year,Reuben
1880,92
1881,73
1882,73
1883,57
1884,82
1885,72
1886,82
1887,54
1888,84
1889,73
1890,75
1891,75
1892,89
1893,86
1894,87
1895,102
1896,90
1897,82
1898,78
1899,64
1900,86
1901,68
1902,82
1903,65
1904,71
1905,88
1906,79
1907,88
1908,102
1909,91
1910,93
1911,109
1912,220
1913,293
1914,372
1915,431
1916,441
1917,430
1918,458
1919,432
1920,465
1921,399
1922,438
1923,431
1924,441
1925,362
1926,374
1927,379
1928,302
1929,290
1930,284
1931,249
1932,249
1933,228
1934,225
1935,227
1936,209
1937,203
1938,217
1939,178
1940,190
1941,213
1942,222
1943,201
1944,204
1945,181
1946,228
1947,201
1948,213
1949,206
1950,207
1951,218
1952,245
1953,199
1954,181
1955,219
1956,220
1957,241
1958,217
1959,241
1960,250
1961,223
1962,215
1963,245
1964,235
1965,214
1966,174
1967,178
1968,181
1969,159
1970,255
1971,258
1972,231
1973,210
1974,246
1975,230
1976,268
1977,287
1978,296
1979,266
1980,294
1981,282
1982,266
1983,240
1984,255
1985,279
1986,294
1987,292
1988,279
1989,287
1990,304
1991,273
1992,246
1993,239
1994,245
1995,221
1996,220
1997,191
1998,227
1999,221
2000,204
2001,209
2002,223
2003,227
2004,214
2005,210
2006,230
2007,216
2008,219
2009,235
2010,196
2011,211
2012,207
