year,Rulon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,5
1906,6
1907,8
1908,0
1909,0
1910,0
1911,6
1912,7
1913,7
1914,14
1915,17
1916,14
1917,13
1918,13
1919,14
1920,22
1921,17
1922,17
1923,14
1924,20
1925,16
1926,20
1927,25
1928,23
1929,17
1930,24
1931,17
1932,16
1933,12
1934,15
1935,11
1936,8
1937,14
1938,14
1939,18
1940,6
1941,21
1942,12
1943,11
1944,15
1945,12
1946,11
1947,12
1948,14
1949,10
1950,10
1951,7
1952,15
1953,8
1954,14
1955,8
1956,7
1957,6
1958,6
1959,8
1960,7
1961,13
1962,11
1963,6
1964,0
1965,0
1966,7
1967,7
1968,0
1969,5
1970,8
1971,5
1972,6
1973,0
1974,7
1975,0
1976,7
1977,9
1978,9
1979,6
1980,7
1981,8
1982,6
1983,8
1984,7
1985,9
1986,0
1987,10
1988,12
1989,7
1990,7
1991,0
1992,6
1993,0
1994,7
1995,5
1996,5
1997,6
1998,0
1999,13
2000,7
2001,10
2002,11
2003,8
2004,12
2005,13
2006,7
2007,7
2008,6
2009,6
2010,7
2011,8
2012,0
