year,Rosaline
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,6
1892,0
1893,0
1894,5
1895,0
1896,0
1897,5
1898,0
1899,10
1900,10
1901,6
1902,8
1903,8
1904,11
1905,14
1906,15
1907,10
1908,10
1909,15
1910,15
1911,22
1912,21
1913,33
1914,32
1915,55
1916,59
1917,63
1918,69
1919,67
1920,76
1921,71
1922,64
1923,78
1924,85
1925,85
1926,75
1927,64
1928,88
1929,67
1930,67
1931,61
1932,47
1933,54
1934,39
1935,47
1936,37
1937,38
1938,49
1939,40
1940,28
1941,36
1942,37
1943,36
1944,42
1945,31
1946,33
1947,33
1948,29
1949,31
1950,40
1951,34
1952,35
1953,34
1954,42
1955,38
1956,30
1957,23
1958,30
1959,35
1960,22
1961,31
1962,22
1963,32
1964,29
1965,31
1966,29
1967,20
1968,29
1969,21
1970,31
1971,19
1972,14
1973,22
1974,19
1975,17
1976,15
1977,16
1978,24
1979,17
1980,26
1981,17
1982,8
1983,8
1984,16
1985,12
1986,8
1987,9
1988,13
1989,0
1990,14
1991,6
1992,10
1993,17
1994,12
1995,6
1996,5
1997,8
1998,10
1999,11
2000,10
2001,5
2002,0
2003,8
2004,11
2005,18
2006,14
2007,7
2008,11
2009,18
2010,23
2011,20
2012,13
