year,Royden
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,10
1914,11
1915,15
1916,16
1917,16
1918,21
1919,16
1920,13
1921,19
1922,14
1923,21
1924,9
1925,17
1926,12
1927,10
1928,20
1929,16
1930,10
1931,8
1932,12
1933,8
1934,12
1935,14
1936,16
1937,8
1938,11
1939,13
1940,5
1941,9
1942,17
1943,16
1944,12
1945,8
1946,10
1947,11
1948,15
1949,17
1950,9
1951,10
1952,14
1953,11
1954,8
1955,13
1956,0
1957,9
1958,7
1959,6
1960,0
1961,8
1962,0
1963,7
1964,6
1965,8
1966,6
1967,9
1968,8
1969,0
1970,13
1971,10
1972,0
1973,5
1974,13
1975,8
1976,7
1977,6
1978,5
1979,6
1980,10
1981,0
1982,10
1983,0
1984,5
1985,0
1986,6
1987,8
1988,0
1989,0
1990,0
1991,9
1992,6
1993,5
1994,5
1995,7
1996,0
1997,0
1998,0
1999,6
2000,7
2001,0
2002,0
2003,0
2004,8
2005,6
2006,6
2007,0
2008,0
2009,8
2010,0
2011,5
2012,6
