year,Rosalyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,7
1900,6
1901,0
1902,0
1903,14
1904,7
1905,12
1906,13
1907,14
1908,13
1909,21
1910,16
1911,18
1912,39
1913,56
1914,59
1915,108
1916,104
1917,89
1918,118
1919,133
1920,132
1921,147
1922,141
1923,146
1924,189
1925,190
1926,176
1927,192
1928,186
1929,170
1930,196
1931,161
1932,187
1933,158
1934,189
1935,152
1936,166
1937,180
1938,199
1939,243
1940,236
1941,238
1942,265
1943,250
1944,213
1945,221
1946,277
1947,270
1948,300
1949,309
1950,349
1951,370
1952,415
1953,418
1954,399
1955,423
1956,384
1957,342
1958,344
1959,334
1960,319
1961,341
1962,284
1963,308
1964,278
1965,304
1966,256
1967,245
1968,246
1969,226
1970,237
1971,226
1972,187
1973,163
1974,151
1975,124
1976,198
1977,245
1978,231
1979,220
1980,209
1981,180
1982,177
1983,150
1984,145
1985,167
1986,145
1987,140
1988,115
1989,125
1990,107
1991,113
1992,118
1993,95
1994,91
1995,89
1996,75
1997,86
1998,74
1999,85
2000,85
2001,96
2002,107
2003,95
2004,117
2005,127
2006,153
2007,113
2008,140
2009,157
2010,148
2011,158
2012,163
