year,Russell (F),Russell (M)
1880,0.000000,0.000308
1881,0.000000,0.000337
1882,0.000000,0.000330
1883,0.000000,0.000309
1884,0.000000,0.000439
1885,0.000000,0.000390
1886,0.000000,0.000450
1887,0.000000,0.000388
1888,0.000000,0.000488
1889,0.000000,0.000685
1890,0.000000,0.000604
1891,0.000000,0.000649
1892,0.000015,0.000804
1893,0.000000,0.000756
1894,0.000000,0.000821
1895,0.000000,0.000855
1896,0.000000,0.000915
1897,0.000000,0.000850
1898,0.000024,0.000941
1899,0.000015,0.000996
1900,0.000000,0.000948
1901,0.000020,0.001142
1902,0.000000,0.001091
1903,0.000000,0.001023
1904,0.000012,0.001172
1905,0.000014,0.001019
1906,0.000014,0.001071
1907,0.000000,0.001081
1908,0.000010,0.001070
1909,0.000014,0.001033
1910,0.000000,0.001041
1911,0.000014,0.001195
1912,0.000013,0.001467
1913,0.000011,0.001711
1914,0.000008,0.001813
1915,0.000005,0.001774
1916,0.000012,0.001721
1917,0.000012,0.001712
1918,0.000008,0.001765
1919,0.000010,0.001728
1920,0.000015,0.001724
1921,0.000012,0.001690
1922,0.000012,0.001733
1923,0.000010,0.001653
1924,0.000010,0.001657
1925,0.000008,0.001630
1926,0.000012,0.001652
1927,0.000010,0.001526
1928,0.000014,0.001471
1929,0.000012,0.001452
1930,0.000012,0.001395
1931,0.000010,0.001399
1932,0.000008,0.001431
1933,0.000007,0.001348
1934,0.000010,0.001317
1935,0.000007,0.001355
1936,0.000007,0.001364
1937,0.000007,0.001359
1938,0.000005,0.001332
1939,0.000005,0.001285
1940,0.000006,0.001308
1941,0.000007,0.001245
1942,0.000005,0.001345
1943,0.000006,0.001329
1944,0.000004,0.001462
1945,0.000005,0.001434
1946,0.000006,0.001483
1947,0.000006,0.001462
1948,0.000006,0.001480
1949,0.000004,0.001437
1950,0.000005,0.001411
1951,0.000004,0.001405
1952,0.000005,0.001408
1953,0.000004,0.001393
1954,0.000004,0.001448
1955,0.000004,0.001628
1956,0.000004,0.001796
1957,0.000005,0.001718
1958,0.000005,0.001731
1959,0.000006,0.001799
1960,0.000006,0.001800
1961,0.000007,0.001771
1962,0.000006,0.001745
1963,0.000006,0.001693
1964,0.000006,0.001605
1965,0.000005,0.001558
1966,0.000007,0.001398
1967,0.000006,0.001440
1968,0.000008,0.001509
1969,0.000007,0.001484
1970,0.000007,0.001418
1971,0.000008,0.001323
1972,0.000008,0.001203
1973,0.000008,0.001126
1974,0.000004,0.001044
1975,0.000007,0.001071
1976,0.000004,0.000987
1977,0.000008,0.000984
1978,0.000009,0.000940
1979,0.000008,0.000942
1980,0.000009,0.000950
1981,0.000009,0.000881
1982,0.000009,0.000865
1983,0.000010,0.000792
1984,0.000007,0.000770
1985,0.000002,0.000721
1986,0.000006,0.000677
1987,0.000005,0.000660
1988,0.000003,0.000622
1989,0.000003,0.000577
1990,0.000000,0.000561
1991,0.000004,0.000471
1992,0.000000,0.000446
1993,0.000003,0.000402
1994,0.000000,0.000342
1995,0.000000,0.000329
1996,0.000003,0.000298
1997,0.000000,0.000303
1998,0.000000,0.000259
1999,0.000000,0.000231
2000,0.000000,0.000237
2001,0.000000,0.000247
2002,0.000000,0.000224
2003,0.000000,0.000213
2004,0.000003,0.000201
2005,0.000000,0.000190
2006,0.000000,0.000187
2007,0.000000,0.000178
2008,0.000000,0.000185
2009,0.000000,0.000169
2010,0.000000,0.000189
2011,0.000000,0.000193
2012,0.000000,0.000180
2013,0.000000,0.000184
2014,0.000000,0.000204
2015,0.000000,0.000207
2016,0.000000,0.000214
2017,0.000000,0.000221
2018,0.000000,0.000219
2019,0.000000,0.000231
2020,0.000000,0.000253
