year,Rhea
1880,0
1881,0
1882,7
1883,8
1884,13
1885,11
1886,13
1887,14
1888,20
1889,31
1890,39
1891,24
1892,44
1893,56
1894,48
1895,41
1896,61
1897,53
1898,54
1899,61
1900,51
1901,58
1902,55
1903,46
1904,49
1905,49
1906,58
1907,63
1908,55
1909,64
1910,60
1911,89
1912,92
1913,115
1914,123
1915,180
1916,178
1917,191
1918,181
1919,191
1920,200
1921,191
1922,190
1923,149
1924,169
1925,175
1926,176
1927,140
1928,164
1929,147
1930,135
1931,134
1932,117
1933,106
1934,110
1935,100
1936,121
1937,125
1938,97
1939,101
1940,94
1941,109
1942,129
1943,119
1944,107
1945,94
1946,135
1947,137
1948,152
1949,130
1950,120
1951,120
1952,128
1953,134
1954,112
1955,136
1956,122
1957,145
1958,149
1959,133
1960,120
1961,114
1962,120
1963,120
1964,105
1965,99
1966,108
1967,89
1968,112
1969,91
1970,83
1971,92
1972,76
1973,85
1974,83
1975,109
1976,108
1977,120
1978,134
1979,110
1980,129
1981,140
1982,109
1983,140
1984,132
1985,129
1986,113
1987,121
1988,103
1989,126
1990,124
1991,109
1992,134
1993,136
1994,96
1995,112
1996,83
1997,130
1998,111
1999,139
2000,172
2001,176
2002,217
2003,195
2004,271
2005,170
2006,208
2007,223
2008,201
2009,214
2010,208
2011,202
2012,224
