year,Romaine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,0
1889,6
1890,0
1891,0
1892,0
1893,0
1894,0
1895,8
1896,0
1897,0
1898,5
1899,9
1900,10
1901,6
1902,6
1903,14
1904,10
1905,12
1906,16
1907,12
1908,18
1909,12
1910,18
1911,20
1912,49
1913,36
1914,67
1915,60
1916,68
1917,74
1918,78
1919,83
1920,85
1921,89
1922,104
1923,78
1924,84
1925,91
1926,81
1927,98
1928,107
1929,103
1930,96
1931,77
1932,93
1933,89
1934,79
1935,86
1936,70
1937,55
1938,79
1939,60
1940,56
1941,58
1942,44
1943,41
1944,46
1945,27
1946,36
1947,38
1948,42
1949,45
1950,34
1951,41
1952,39
1953,49
1954,56
1955,36
1956,35
1957,37
1958,33
1959,27
1960,35
1961,29
1962,23
1963,23
1964,34
1965,31
1966,33
1967,19
1968,14
1969,19
1970,15
1971,34
1972,25
1973,28
1974,17
1975,24
1976,20
1977,13
1978,19
1979,23
1980,22
1981,20
1982,21
1983,12
1984,17
1985,21
1986,8
1987,11
1988,16
1989,8
1990,12
1991,16
1992,10
1993,10
1994,5
1995,15
1996,10
1997,8
1998,11
1999,7
2000,9
2001,16
2002,8
2003,6
2004,5
2005,0
2006,6
2007,6
2008,0
2009,7
2010,15
2011,5
2012,8
