year,Reba
1880,13
1881,17
1882,9
1883,15
1884,19
1885,22
1886,28
1887,29
1888,33
1889,39
1890,43
1891,58
1892,71
1893,65
1894,100
1895,87
1896,109
1897,82
1898,133
1899,93
1900,116
1901,124
1902,129
1903,126
1904,128
1905,162
1906,150
1907,167
1908,183
1909,208
1910,236
1911,259
1912,335
1913,415
1914,502
1915,662
1916,672
1917,618
1918,689
1919,707
1920,698
1921,753
1922,728
1923,734
1924,778
1925,793
1926,757
1927,726
1928,727
1929,648
1930,686
1931,652
1932,662
1933,626
1934,636
1935,615
1936,608
1937,601
1938,573
1939,543
1940,550
1941,525
1942,526
1943,529
1944,440
1945,442
1946,475
1947,488
1948,440
1949,432
1950,361
1951,441
1952,428
1953,440
1954,455
1955,443
1956,451
1957,404
1958,365
1959,349
1960,382
1961,308
1962,268
1963,240
1964,218
1965,200
1966,166
1967,164
1968,116
1969,113
1970,122
1971,108
1972,81
1973,84
1974,66
1975,49
1976,65
1977,58
1978,56
1979,49
1980,37
1981,46
1982,42
1983,46
1984,47
1985,50
1986,83
1987,102
1988,109
1989,97
1990,108
1991,156
1992,169
1993,157
1994,149
1995,123
1996,108
1997,65
1998,55
1999,46
2000,36
2001,33
2002,34
2003,30
2004,32
2005,28
2006,30
2007,24
2008,21
2009,25
2010,17
2011,21
2012,14
