year,Rebeca
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,5
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,6
1905,5
1906,0
1907,0
1908,9
1909,0
1910,7
1911,0
1912,0
1913,9
1914,8
1915,0
1916,12
1917,14
1918,13
1919,21
1920,14
1921,18
1922,22
1923,20
1924,25
1925,26
1926,26
1927,24
1928,40
1929,34
1930,33
1931,28
1932,30
1933,22
1934,18
1935,17
1936,20
1937,10
1938,12
1939,22
1940,19
1941,21
1942,24
1943,17
1944,18
1945,18
1946,19
1947,24
1948,23
1949,22
1950,26
1951,42
1952,32
1953,37
1954,36
1955,39
1956,38
1957,45
1958,44
1959,53
1960,70
1961,60
1962,65
1963,78
1964,66
1965,66
1966,76
1967,71
1968,75
1969,89
1970,94
1971,114
1972,124
1973,128
1974,125
1975,120
1976,146
1977,136
1978,151
1979,159
1980,169
1981,195
1982,172
1983,165
1984,135
1985,172
1986,158
1987,164
1988,231
1989,239
1990,289
1991,307
1992,301
1993,339
1994,340
1995,311
1996,295
1997,288
1998,313
1999,320
2000,328
2001,287
2002,261
2003,422
2004,359
2005,326
2006,315
2007,284
2008,256
2009,282
2010,200
2011,219
2012,215
