year,Renna
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,6
1897,0
1898,0
1899,6
1900,0
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,7
1908,5
1909,0
1910,9
1911,0
1912,5
1913,0
1914,0
1915,0
1916,6
1917,5
1918,0
1919,7
1920,7
1921,10
1922,5
1923,7
1924,6
1925,6
1926,9
1927,0
1928,7
1929,9
1930,7
1931,5
1932,9
1933,8
1934,8
1935,5
1936,11
1937,0
1938,8
1939,5
1940,7
1941,8
1942,5
1943,10
1944,9
1945,11
1946,12
1947,18
1948,15
1949,20
1950,15
1951,14
1952,21
1953,19
1954,20
1955,21
1956,22
1957,28
1958,27
1959,27
1960,25
1961,23
1962,20
1963,19
1964,19
1965,12
1966,12
1967,12
1968,13
1969,13
1970,15
1971,18
1972,12
1973,10
1974,7
1975,5
1976,6
1977,8
1978,8
1979,6
1980,10
1981,5
1982,9
1983,6
1984,0
1985,11
1986,6
1987,9
1988,9
1989,8
1990,6
1991,7
1992,13
1993,5
1994,5
1995,9
1996,5
1997,14
1998,9
1999,10
2000,14
2001,17
2002,14
2003,15
2004,15
2005,11
2006,10
2007,20
2008,14
2009,23
2010,14
2011,8
2012,15
