year,Rupert
1880,6
1881,10
1882,11
1883,9
1884,15
1885,11
1886,11
1887,12
1888,11
1889,11
1890,16
1891,6
1892,16
1893,15
1894,19
1895,15
1896,20
1897,17
1898,22
1899,21
1900,27
1901,13
1902,9
1903,12
1904,20
1905,20
1906,21
1907,21
1908,17
1909,21
1910,33
1911,30
1912,69
1913,66
1914,91
1915,117
1916,107
1917,117
1918,138
1919,113
1920,161
1921,139
1922,137
1923,141
1924,108
1925,122
1926,100
1927,103
1928,100
1929,85
1930,84
1931,93
1932,82
1933,72
1934,68
1935,77
1936,94
1937,52
1938,61
1939,53
1940,56
1941,58
1942,60
1943,66
1944,48
1945,62
1946,45
1947,51
1948,70
1949,53
1950,54
1951,61
1952,62
1953,44
1954,39
1955,53
1956,37
1957,47
1958,32
1959,35
1960,49
1961,41
1962,43
1963,42
1964,33
1965,41
1966,21
1967,30
1968,20
1969,26
1970,23
1971,24
1972,28
1973,23
1974,21
1975,25
1976,25
1977,21
1978,10
1979,18
1980,14
1981,17
1982,22
1983,25
1984,14
1985,11
1986,18
1987,21
1988,10
1989,23
1990,11
1991,27
1992,19
1993,10
1994,8
1995,11
1996,15
1997,12
1998,12
1999,12
2000,13
2001,7
2002,14
2003,10
2004,12
2005,14
2006,8
2007,11
2008,12
2009,8
2010,15
2011,8
2012,13
