year,Rae
1880,10
1881,7
1882,17
1883,23
1884,23
1885,17
1886,34
1887,38
1888,49
1889,44
1890,53
1891,62
1892,76
1893,71
1894,79
1895,89
1896,68
1897,67
1898,61
1899,72
1900,68
1901,57
1902,64
1903,76
1904,73
1905,59
1906,64
1907,73
1908,81
1909,84
1910,87
1911,111
1912,133
1913,139
1914,216
1915,225
1916,213
1917,241
1918,248
1919,239
1920,217
1921,217
1922,198
1923,203
1924,212
1925,237
1926,170
1927,201
1928,218
1929,194
1930,191
1931,217
1932,219
1933,278
1934,228
1935,260
1936,230
1937,204
1938,194
1939,203
1940,206
1941,214
1942,284
1943,293
1944,239
1945,260
1946,271
1947,365
1948,329
1949,316
1950,330
1951,357
1952,318
1953,345
1954,384
1955,377
1956,414
1957,404
1958,334
1959,297
1960,257
1961,278
1962,345
1963,314
1964,314
1965,322
1966,230
1967,333
1968,293
1969,275
1970,282
1971,250
1972,213
1973,175
1974,177
1975,157
1976,137
1977,134
1978,171
1979,176
1980,147
1981,156
1982,157
1983,133
1984,102
1985,113
1986,95
1987,121
1988,121
1989,129
1990,124
1991,106
1992,99
1993,94
1994,111
1995,111
1996,91
1997,83
1998,77
1999,70
2000,74
2001,73
2002,59
2003,54
2004,63
2005,66
2006,69
2007,59
2008,66
2009,60
2010,63
2011,65
2012,88
