year,Roxana
1880,0
1881,0
1882,5
1883,0
1884,5
1885,0
1886,5
1887,0
1888,0
1889,11
1890,5
1891,0
1892,6
1893,6
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,5
1904,5
1905,0
1906,6
1907,5
1908,0
1909,5
1910,0
1911,0
1912,10
1913,0
1914,7
1915,9
1916,8
1917,8
1918,13
1919,12
1920,22
1921,16
1922,8
1923,12
1924,13
1925,18
1926,12
1927,8
1928,9
1929,15
1930,7
1931,13
1932,11
1933,19
1934,22
1935,22
1936,28
1937,14
1938,21
1939,28
1940,17
1941,27
1942,26
1943,36
1944,42
1945,39
1946,37
1947,41
1948,61
1949,69
1950,62
1951,65
1952,53
1953,50
1954,67
1955,75
1956,82
1957,45
1958,48
1959,41
1960,66
1961,65
1962,76
1963,75
1964,67
1965,67
1966,55
1967,73
1968,59
1969,85
1970,80
1971,101
1972,89
1973,69
1974,109
1975,91
1976,109
1977,100
1978,93
1979,100
1980,126
1981,140
1982,176
1983,207
1984,188
1985,233
1986,284
1987,320
1988,309
1989,307
1990,311
1991,315
1992,277
1993,293
1994,262
1995,249
1996,255
1997,186
1998,179
1999,196
2000,197
2001,248
2002,268
2003,198
2004,243
2005,251
2006,243
2007,221
2008,207
2009,224
2010,167
2011,189
2012,140
