year,Rosanna
1880,7
1881,8
1882,15
1883,18
1884,20
1885,21
1886,15
1887,18
1888,17
1889,23
1890,15
1891,23
1892,26
1893,28
1894,14
1895,28
1896,27
1897,18
1898,23
1899,24
1900,19
1901,16
1902,22
1903,24
1904,27
1905,18
1906,31
1907,21
1908,28
1909,29
1910,36
1911,25
1912,33
1913,51
1914,50
1915,79
1916,91
1917,81
1918,86
1919,87
1920,97
1921,85
1922,75
1923,86
1924,94
1925,86
1926,90
1927,93
1928,81
1929,82
1930,62
1931,62
1932,70
1933,54
1934,68
1935,52
1936,50
1937,53
1938,56
1939,57
1940,64
1941,54
1942,55
1943,57
1944,56
1945,48
1946,64
1947,102
1948,96
1949,111
1950,219
1951,235
1952,207
1953,150
1954,160
1955,151
1956,200
1957,205
1958,162
1959,157
1960,143
1961,157
1962,159
1963,183
1964,176
1965,188
1966,158
1967,146
1968,207
1969,182
1970,184
1971,219
1972,196
1973,186
1974,148
1975,184
1976,179
1977,207
1978,168
1979,221
1980,202
1981,194
1982,492
1983,488
1984,367
1985,361
1986,327
1987,303
1988,292
1989,186
1990,139
1991,107
1992,112
1993,115
1994,80
1995,88
1996,100
1997,89
1998,67
1999,79
2000,52
2001,67
2002,81
2003,51
2004,49
2005,56
2006,57
2007,42
2008,45
2009,44
2010,46
2011,40
2012,59
