year,Rosetta
1880,46
1881,49
1882,45
1883,39
1884,46
1885,41
1886,61
1887,42
1888,61
1889,66
1890,59
1891,64
1892,72
1893,73
1894,69
1895,84
1896,77
1897,70
1898,77
1899,97
1900,132
1901,94
1902,99
1903,86
1904,105
1905,133
1906,118
1907,124
1908,119
1909,133
1910,176
1911,176
1912,240
1913,227
1914,278
1915,293
1916,344
1917,361
1918,380
1919,418
1920,418
1921,417
1922,445
1923,427
1924,441
1925,444
1926,464
1927,465
1928,417
1929,422
1930,421
1931,374
1932,405
1933,381
1934,407
1935,516
1936,507
1937,494
1938,512
1939,479
1940,464
1941,435
1942,488
1943,441
1944,475
1945,394
1946,457
1947,518
1948,578
1949,550
1950,483
1951,450
1952,433
1953,408
1954,379
1955,355
1956,382
1957,312
1958,312
1959,302
1960,299
1961,268
1962,219
1963,211
1964,237
1965,202
1966,224
1967,202
1968,165
1969,188
1970,152
1971,148
1972,153
1973,119
1974,112
1975,97
1976,89
1977,79
1978,73
1979,75
1980,79
1981,81
1982,80
1983,62
1984,50
1985,56
1986,62
1987,74
1988,84
1989,72
1990,58
1991,41
1992,57
1993,52
1994,49
1995,38
1996,33
1997,28
1998,58
1999,28
2000,42
2001,28
2002,23
2003,27
2004,31
2005,19
2006,33
2007,30
2008,35
2009,40
2010,34
2011,25
2012,40
