year,Rhoda
1880,73
1881,84
1882,79
1883,93
1884,93
1885,106
1886,114
1887,104
1888,130
1889,148
1890,138
1891,138
1892,140
1893,136
1894,136
1895,136
1896,130
1897,134
1898,148
1899,127
1900,151
1901,125
1902,152
1903,122
1904,116
1905,145
1906,132
1907,138
1908,108
1909,136
1910,170
1911,161
1912,189
1913,189
1914,266
1915,385
1916,385
1917,345
1918,433
1919,420
1920,421
1921,430
1922,464
1923,435
1924,503
1925,514
1926,546
1927,455
1928,504
1929,483
1930,498
1931,487
1932,419
1933,377
1934,425
1935,404
1936,376
1937,341
1938,360
1939,348
1940,315
1941,284
1942,331
1943,306
1944,275
1945,227
1946,271
1947,287
1948,251
1949,271
1950,279
1951,262
1952,230
1953,253
1954,233
1955,238
1956,241
1957,356
1958,265
1959,259
1960,227
1961,212
1962,181
1963,189
1964,221
1965,225
1966,234
1967,161
1968,143
1969,132
1970,117
1971,129
1972,128
1973,132
1974,162
1975,182
1976,115
1977,94
1978,81
1979,76
1980,75
1981,68
1982,56
1983,47
1984,53
1985,49
1986,52
1987,32
1988,35
1989,41
1990,48
1991,56
1992,37
1993,35
1994,30
1995,33
1996,38
1997,46
1998,37
1999,41
2000,37
2001,37
2002,31
2003,32
2004,41
2005,36
2006,36
2007,31
2008,43
2009,31
2010,49
2011,29
2012,33
