year,Roxanna
1880,9
1881,0
1882,8
1883,5
1884,7
1885,6
1886,9
1887,0
1888,9
1889,5
1890,7
1891,8
1892,6
1893,5
1894,6
1895,5
1896,0
1897,7
1898,12
1899,6
1900,12
1901,9
1902,6
1903,14
1904,10
1905,0
1906,11
1907,0
1908,9
1909,0
1910,12
1911,7
1912,11
1913,13
1914,18
1915,15
1916,16
1917,21
1918,21
1919,25
1920,18
1921,22
1922,20
1923,20
1924,21
1925,19
1926,20
1927,22
1928,23
1929,17
1930,25
1931,19
1932,20
1933,21
1934,30
1935,27
1936,49
1937,51
1938,44
1939,44
1940,44
1941,48
1942,46
1943,77
1944,72
1945,79
1946,95
1947,92
1948,105
1949,99
1950,149
1951,177
1952,155
1953,175
1954,245
1955,208
1956,205
1957,172
1958,176
1959,180
1960,254
1961,273
1962,237
1963,250
1964,172
1965,180
1966,179
1967,150
1968,162
1969,177
1970,161
1971,172
1972,169
1973,135
1974,120
1975,143
1976,132
1977,128
1978,125
1979,146
1980,117
1981,184
1982,184
1983,185
1984,167
1985,189
1986,194
1987,308
1988,316
1989,253
1990,213
1991,190
1992,148
1993,174
1994,166
1995,171
1996,162
1997,113
1998,112
1999,122
2000,124
2001,155
2002,136
2003,150
2004,151
2005,133
2006,145
2007,146
2008,143
2009,148
2010,162
2011,136
2012,118
