year,Xavier
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,0
1889,0
1890,8
1891,0
1892,0
1893,0
1894,5
1895,0
1896,5
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,6
1908,0
1909,0
1910,0
1911,0
1912,6
1913,6
1914,7
1915,15
1916,28
1917,20
1918,17
1919,12
1920,5
1921,15
1922,19
1923,16
1924,9
1925,17
1926,15
1927,14
1928,23
1929,21
1930,17
1931,20
1932,19
1933,14
1934,16
1935,14
1936,21
1937,15
1938,20
1939,16
1940,23
1941,22
1942,36
1943,28
1944,37
1945,35
1946,40
1947,50
1948,59
1949,64
1950,63
1951,80
1952,83
1953,101
1954,107
1955,112
1956,76
1957,125
1958,81
1959,130
1960,131
1961,176
1962,156
1963,190
1964,181
1965,156
1966,212
1967,181
1968,216
1969,231
1970,222
1971,283
1972,267
1973,289
1974,314
1975,324
1976,304
1977,361
1978,349
1979,280
1980,337
1981,367
1982,438
1983,497
1984,557
1985,638
1986,763
1987,994
1988,1260
1989,1381
1990,1676
1991,1844
1992,2265
1993,2476
1994,2555
1995,2416
1996,2527
1997,2619
1998,2957
1999,3205
2000,3651
2001,4000
2002,4662
2003,5085
2004,5031
2005,4885
2006,6189
2007,6564
2008,6279
2009,6215
2010,5746
2011,5419
2012,5355
