year,Bettina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,9
1906,0
1907,6
1908,8
1909,8
1910,16
1911,9
1912,17
1913,24
1914,32
1915,35
1916,35
1917,24
1918,34
1919,22
1920,28
1921,26
1922,30
1923,25
1924,26
1925,18
1926,34
1927,17
1928,23
1929,21
1930,17
1931,27
1932,30
1933,25
1934,25
1935,16
1936,17
1937,27
1938,18
1939,22
1940,29
1941,26
1942,34
1943,43
1944,58
1945,67
1946,70
1947,86
1948,59
1949,64
1950,70
1951,62
1952,62
1953,59
1954,81
1955,83
1956,126
1957,139
1958,117
1959,112
1960,174
1961,167
1962,168
1963,186
1964,168
1965,190
1966,152
1967,146
1968,176
1969,108
1970,118
1971,119
1972,121
1973,121
1974,103
1975,79
1976,89
1977,75
1978,137
1979,150
1980,160
1981,158
1982,127
1983,110
1984,102
1985,93
1986,66
1987,72
1988,60
1989,42
1990,29
1991,46
1992,32
1993,18
1994,25
1995,16
1996,27
1997,28
1998,12
1999,15
2000,16
2001,18
2002,13
2003,14
2004,14
2005,13
2006,9
2007,5
2008,14
2009,14
2010,9
2011,9
2012,14
