year,Braxton
1880,0
1881,0
1882,0
1883,0
1884,0
1885,6
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,5
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,5
1910,7
1911,6
1912,13
1913,8
1914,20
1915,18
1916,22
1917,17
1918,25
1919,21
1920,24
1921,30
1922,17
1923,23
1924,19
1925,25
1926,24
1927,19
1928,30
1929,19
1930,23
1931,18
1932,20
1933,27
1934,25
1935,17
1936,23
1937,29
1938,20
1939,25
1940,19
1941,27
1942,17
1943,28
1944,16
1945,11
1946,11
1947,19
1948,22
1949,21
1950,15
1951,18
1952,17
1953,12
1954,18
1955,12
1956,13
1957,26
1958,13
1959,23
1960,15
1961,30
1962,15
1963,16
1964,17
1965,13
1966,16
1967,14
1968,13
1969,14
1970,21
1971,24
1972,19
1973,22
1974,29
1975,30
1976,30
1977,25
1978,32
1979,34
1980,34
1981,38
1982,50
1983,72
1984,63
1985,100
1986,114
1987,109
1988,136
1989,155
1990,201
1991,230
1992,253
1993,327
1994,524
1995,554
1996,618
1997,819
1998,875
1999,855
2000,842
2001,829
2002,868
2003,1033
2004,1633
2005,1342
2006,1633
2007,1799
2008,1951
2009,2258
2010,2313
2011,2529
2012,3021
