year,Betsy
1880,14
1881,13
1882,18
1883,13
1884,19
1885,13
1886,20
1887,19
1888,22
1889,15
1890,13
1891,18
1892,27
1893,17
1894,26
1895,17
1896,14
1897,10
1898,17
1899,14
1900,24
1901,16
1902,21
1903,11
1904,15
1905,17
1906,17
1907,19
1908,24
1909,25
1910,36
1911,30
1912,27
1913,49
1914,79
1915,77
1916,108
1917,112
1918,178
1919,145
1920,183
1921,200
1922,228
1923,217
1924,236
1925,284
1926,262
1927,283
1928,317
1929,341
1930,360
1931,327
1932,349
1933,323
1934,357
1935,384
1936,384
1937,450
1938,480
1939,513
1940,607
1941,650
1942,711
1943,665
1944,669
1945,651
1946,697
1947,847
1948,719
1949,769
1950,891
1951,881
1952,974
1953,987
1954,1003
1955,984
1956,1066
1957,1097
1958,1287
1959,1390
1960,1252
1961,1137
1962,1014
1963,1077
1964,1026
1965,931
1966,698
1967,536
1968,480
1969,415
1970,492
1971,700
1972,634
1973,550
1974,489
1975,512
1976,613
1977,470
1978,472
1979,530
1980,537
1981,446
1982,421
1983,400
1984,455
1985,399
1986,354
1987,404
1988,339
1989,301
1990,281
1991,252
1992,238
1993,233
1994,186
1995,170
1996,158
1997,171
1998,173
1999,153
2000,157
2001,124
2002,123
2003,133
2004,153
2005,119
2006,370
2007,247
2008,218
2009,157
2010,154
2011,130
2012,138
