year,Becky
1880,8
1881,9
1882,0
1883,0
1884,6
1885,5
1886,7
1887,7
1888,6
1889,6
1890,5
1891,0
1892,5
1893,8
1894,0
1895,5
1896,0
1897,6
1898,6
1899,0
1900,7
1901,7
1902,0
1903,0
1904,6
1905,0
1906,8
1907,5
1908,10
1909,7
1910,7
1911,7
1912,11
1913,0
1914,22
1915,23
1916,18
1917,30
1918,20
1919,26
1920,24
1921,39
1922,37
1923,49
1924,37
1925,45
1926,27
1927,45
1928,42
1929,47
1930,47
1931,52
1932,56
1933,62
1934,67
1935,99
1936,118
1937,114
1938,178
1939,265
1940,347
1941,427
1942,512
1943,552
1944,593
1945,657
1946,1038
1947,1299
1948,1199
1949,1110
1950,1241
1951,1259
1952,1535
1953,1627
1954,1849
1955,2010
1956,2693
1957,3531
1958,4371
1959,4752
1960,4325
1961,4093
1962,3717
1963,3316
1964,3112
1965,2598
1966,2297
1967,2038
1968,2061
1969,2098
1970,2071
1971,1940
1972,1797
1973,1615
1974,1503
1975,1311
1976,1196
1977,1008
1978,995
1979,914
1980,1018
1981,993
1982,799
1983,689
1984,577
1985,514
1986,382
1987,377
1988,324
1989,261
1990,230
1991,206
1992,191
1993,160
1994,137
1995,108
1996,117
1997,129
1998,79
1999,89
2000,81
2001,65
2002,66
2003,53
2004,55
2005,57
2006,52
2007,67
2008,56
2009,59
2010,44
2011,45
2012,40
