year,Bridget
1880,35
1881,34
1882,31
1883,28
1884,37
1885,38
1886,43
1887,34
1888,39
1889,30
1890,42
1891,34
1892,34
1893,41
1894,35
1895,31
1896,36
1897,47
1898,32
1899,22
1900,40
1901,34
1902,31
1903,22
1904,29
1905,32
1906,34
1907,33
1908,25
1909,46
1910,36
1911,31
1912,51
1913,48
1914,59
1915,95
1916,95
1917,72
1918,97
1919,84
1920,70
1921,78
1922,81
1923,60
1924,81
1925,66
1926,66
1927,66
1928,66
1929,81
1930,58
1931,78
1932,63
1933,60
1934,71
1935,65
1936,72
1937,50
1938,77
1939,54
1940,67
1941,87
1942,68
1943,69
1944,73
1945,93
1946,103
1947,161
1948,173
1949,219
1950,227
1951,274
1952,440
1953,526
1954,458
1955,585
1956,576
1957,628
1958,799
1959,1052
1960,1156
1961,1209
1962,1408
1963,1448
1964,1477
1965,1544
1966,1628
1967,1556
1968,1463
1969,1597
1970,1821
1971,1720
1972,1873
1973,2770
1974,2086
1975,1872
1976,1715
1977,1648
1978,1692
1979,1739
1980,1831
1981,1902
1982,2012
1983,1756
1984,1689
1985,1625
1986,1580
1987,1545
1988,1574
1989,1642
1990,1544
1991,1449
1992,1413
1993,1629
1994,1705
1995,1477
1996,1530
1997,1281
1998,1287
1999,1290
2000,1168
2001,1155
2002,1074
2003,1028
2004,1034
2005,971
2006,945
2007,908
2008,820
2009,752
2010,687
2011,630
2012,682
