year,Benita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,6
1891,7
1892,6
1893,5
1894,0
1895,0
1896,7
1897,7
1898,8
1899,0
1900,9
1901,5
1902,10
1903,0
1904,9
1905,14
1906,12
1907,7
1908,14
1909,12
1910,19
1911,30
1912,30
1913,26
1914,40
1915,49
1916,45
1917,50
1918,69
1919,64
1920,57
1921,50
1922,51
1923,64
1924,81
1925,56
1926,82
1927,68
1928,71
1929,88
1930,78
1931,97
1932,79
1933,132
1934,123
1935,124
1936,134
1937,112
1938,92
1939,98
1940,79
1941,96
1942,85
1943,87
1944,86
1945,88
1946,122
1947,126
1948,164
1949,184
1950,190
1951,254
1952,243
1953,251
1954,296
1955,314
1956,284
1957,318
1958,345
1959,394
1960,476
1961,479
1962,450
1963,397
1964,371
1965,378
1966,311
1967,302
1968,278
1969,278
1970,286
1971,219
1972,209
1973,172
1974,156
1975,161
1976,136
1977,157
1978,136
1979,138
1980,126
1981,127
1982,126
1983,97
1984,89
1985,93
1986,71
1987,75
1988,59
1989,84
1990,62
1991,66
1992,77
1993,45
1994,46
1995,46
1996,39
1997,37
1998,29
1999,27
2000,27
2001,23
2002,28
2003,16
2004,21
2005,21
2006,20
2007,25
2008,18
2009,22
2010,17
2011,11
2012,23
