year,Bee
1880,0
1881,10
1882,6
1883,13
1884,5
1885,5
1886,5
1887,5
1888,20
1889,11
1890,15
1891,11
1892,6
1893,7
1894,8
1895,14
1896,18
1897,14
1898,14
1899,6
1900,23
1901,18
1902,12
1903,17
1904,22
1905,13
1906,15
1907,23
1908,25
1909,13
1910,20
1911,25
1912,27
1913,27
1914,25
1915,35
1916,41
1917,46
1918,41
1919,37
1920,30
1921,18
1922,17
1923,23
1924,25
1925,20
1926,24
1927,16
1928,5
1929,6
1930,8
1931,5
1932,11
1933,9
1934,10
1935,7
1936,0
1937,0
1938,5
1939,5
1940,0
1941,8
1942,5
1943,0
1944,0
1945,0
1946,5
1947,6
1948,6
1949,0
1950,0
1951,0
1952,5
1953,0
1954,6
1955,5
1956,5
1957,6
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,5
1975,0
1976,0
1977,0
1978,0
1979,13
1980,39
1981,46
1982,31
1983,32
1984,31
1985,30
1986,26
1987,20
1988,26
1989,37
1990,48
1991,48
1992,36
1993,45
1994,30
1995,35
1996,26
1997,17
1998,7
1999,5
2000,6
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
