year,Bella
1880,13
1881,24
1882,16
1883,17
1884,31
1885,25
1886,22
1887,26
1888,31
1889,37
1890,42
1891,37
1892,53
1893,46
1894,35
1895,39
1896,43
1897,44
1898,39
1899,53
1900,73
1901,36
1902,53
1903,44
1904,43
1905,52
1906,54
1907,60
1908,65
1909,75
1910,73
1911,82
1912,113
1913,125
1914,152
1915,160
1916,207
1917,215
1918,238
1919,211
1920,188
1921,192
1922,178
1923,172
1924,134
1925,133
1926,106
1927,90
1928,73
1929,83
1930,64
1931,50
1932,47
1933,37
1934,45
1935,28
1936,29
1937,19
1938,19
1939,25
1940,19
1941,27
1942,22
1943,16
1944,16
1945,13
1946,23
1947,43
1948,26
1949,30
1950,21
1951,29
1952,36
1953,43
1954,28
1955,41
1956,25
1957,24
1958,34
1959,24
1960,30
1961,22
1962,24
1963,22
1964,21
1965,34
1966,16
1967,16
1968,24
1969,18
1970,32
1971,21
1972,19
1973,28
1974,19
1975,29
1976,18
1977,25
1978,19
1979,25
1980,17
1981,19
1982,23
1983,22
1984,19
1985,23
1986,16
1987,19
1988,20
1989,17
1990,28
1991,47
1992,39
1993,49
1994,76
1995,105
1996,72
1997,95
1998,156
1999,183
2000,307
2001,412
2002,682
2003,971
2004,1240
2005,1659
2006,1953
2007,2246
2008,2787
2009,4532
2010,5114
2011,4262
2012,4327
