year,Butler
1880,8
1881,0
1882,12
1883,7
1884,5
1885,12
1886,13
1887,9
1888,6
1889,12
1890,11
1891,5
1892,13
1893,10
1894,9
1895,9
1896,11
1897,7
1898,0
1899,12
1900,12
1901,0
1902,6
1903,7
1904,0
1905,0
1906,7
1907,6
1908,8
1909,8
1910,8
1911,10
1912,15
1913,20
1914,22
1915,25
1916,24
1917,23
1918,21
1919,31
1920,24
1921,22
1922,17
1923,21
1924,23
1925,9
1926,17
1927,14
1928,17
1929,20
1930,12
1931,9
1932,10
1933,11
1934,9
1935,11
1936,16
1937,14
1938,23
1939,6
1940,13
1941,10
1942,10
1943,22
1944,7
1945,15
1946,10
1947,11
1948,14
1949,15
1950,5
1951,9
1952,6
1953,5
1954,8
1955,9
1956,9
1957,0
1958,7
1959,7
1960,8
1961,7
1962,7
1963,0
1964,8
1965,0
1966,0
1967,5
1968,0
1969,0
1970,5
1971,0
1972,0
1973,0
1974,0
1975,0
1976,5
1977,0
1978,0
1979,0
1980,10
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,6
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
