year,Beata
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,0
1897,5
1898,0
1899,7
1900,7
1901,0
1902,6
1903,6
1904,0
1905,0
1906,0
1907,5
1908,8
1909,5
1910,0
1911,0
1912,8
1913,7
1914,18
1915,8
1916,26
1917,11
1918,18
1919,14
1920,10
1921,11
1922,10
1923,16
1924,12
1925,7
1926,7
1927,6
1928,7
1929,6
1930,9
1931,7
1932,9
1933,7
1934,5
1935,0
1936,7
1937,10
1938,8
1939,0
1940,0
1941,11
1942,0
1943,0
1944,0
1945,5
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,9
1953,7
1954,5
1955,0
1956,0
1957,6
1958,0
1959,0
1960,7
1961,6
1962,5
1963,10
1964,7
1965,8
1966,5
1967,11
1968,10
1969,15
1970,21
1971,24
1972,13
1973,18
1974,18
1975,15
1976,17
1977,17
1978,12
1979,20
1980,13
1981,11
1982,12
1983,16
1984,7
1985,13
1986,15
1987,9
1988,7
1989,9
1990,12
1991,11
1992,8
1993,8
1994,0
1995,9
1996,11
1997,10
1998,5
1999,11
2000,7
2001,8
2002,0
2003,9
2004,10
2005,11
2006,10
2007,5
2008,11
2009,8
2010,5
2011,0
2012,10
