year,Bettye
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,5
1887,0
1888,0
1889,0
1890,0
1891,0
1892,6
1893,7
1894,6
1895,7
1896,0
1897,0
1898,6
1899,5
1900,9
1901,0
1902,8
1903,9
1904,7
1905,12
1906,6
1907,14
1908,11
1909,17
1910,31
1911,16
1912,21
1913,39
1914,38
1915,46
1916,63
1917,81
1918,110
1919,105
1920,154
1921,224
1922,241
1923,389
1924,438
1925,541
1926,602
1927,676
1928,663
1929,699
1930,758
1931,741
1932,702
1933,763
1934,740
1935,704
1936,645
1937,638
1938,728
1939,663
1940,711
1941,734
1942,746
1943,742
1944,714
1945,671
1946,695
1947,739
1948,634
1949,609
1950,481
1951,457
1952,408
1953,330
1954,277
1955,256
1956,198
1957,147
1958,123
1959,128
1960,101
1961,78
1962,73
1963,60
1964,55
1965,54
1966,45
1967,21
1968,15
1969,25
1970,25
1971,23
1972,16
1973,13
1974,20
1975,5
1976,7
1977,10
1978,8
1979,5
1980,11
1981,7
1982,8
1983,12
1984,9
1985,7
1986,8
1987,5
1988,0
1989,5
1990,8
1991,6
1992,9
1993,0
1994,0
1995,0
1996,5
1997,5
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
