year,Bernadette
1880,8
1881,5
1882,6
1883,0
1884,6
1885,7
1886,10
1887,12
1888,16
1889,23
1890,20
1891,19
1892,22
1893,26
1894,32
1895,40
1896,49
1897,41
1898,48
1899,51
1900,47
1901,45
1902,53
1903,56
1904,46
1905,46
1906,55
1907,62
1908,95
1909,93
1910,96
1911,92
1912,142
1913,183
1914,201
1915,256
1916,253
1917,269
1918,283
1919,303
1920,330
1921,356
1922,338
1923,359
1924,348
1925,362
1926,368
1927,373
1928,371
1929,328
1930,323
1931,288
1932,314
1933,394
1934,619
1935,393
1936,382
1937,336
1938,367
1939,353
1940,323
1941,329
1942,372
1943,655
1944,1035
1945,1017
1946,1320
1947,1252
1948,1184
1949,1141
1950,1043
1951,991
1952,995
1953,916
1954,996
1955,963
1956,923
1957,989
1958,1491
1959,1393
1960,1426
1961,1206
1962,1143
1963,1025
1964,939
1965,910
1966,1116
1967,1224
1968,920
1969,843
1970,776
1971,746
1972,637
1973,612
1974,572
1975,545
1976,537
1977,559
1978,461
1979,461
1980,434
1981,379
1982,436
1983,371
1984,321
1985,268
1986,273
1987,288
1988,269
1989,235
1990,281
1991,237
1992,235
1993,215
1994,184
1995,174
1996,170
1997,158
1998,174
1999,151
2000,110
2001,125
2002,101
2003,99
2004,96
2005,91
2006,94
2007,74
2008,77
2009,77
2010,78
2011,62
2012,88
