year,Belle
1880,238
1881,219
1882,264
1883,262
1884,286
1885,255
1886,270
1887,272
1888,317
1889,265
1890,304
1891,240
1892,265
1893,284
1894,249
1895,283
1896,238
1897,212
1898,257
1899,180
1900,291
1901,208
1902,212
1903,200
1904,205
1905,205
1906,191
1907,196
1908,187
1909,201
1910,193
1911,211
1912,279
1913,273
1914,353
1915,407
1916,334
1917,314
1918,285
1919,252
1920,235
1921,219
1922,187
1923,177
1924,162
1925,140
1926,117
1927,120
1928,93
1929,96
1930,82
1931,62
1932,67
1933,55
1934,50
1935,47
1936,42
1937,46
1938,44
1939,42
1940,32
1941,44
1942,45
1943,51
1944,25
1945,40
1946,42
1947,45
1948,47
1949,56
1950,40
1951,50
1952,46
1953,48
1954,42
1955,31
1956,30
1957,41
1958,39
1959,33
1960,35
1961,33
1962,30
1963,28
1964,33
1965,24
1966,18
1967,16
1968,18
1969,25
1970,22
1971,16
1972,18
1973,17
1974,21
1975,15
1976,12
1977,15
1978,14
1979,22
1980,11
1981,13
1982,15
1983,18
1984,13
1985,9
1986,6
1987,12
1988,6
1989,9
1990,13
1991,8
1992,19
1993,35
1994,41
1995,35
1996,55
1997,62
1998,68
1999,56
2000,74
2001,108
2002,113
2003,107
2004,147
2005,152
2006,146
2007,143
2008,170
2009,134
2010,155
2011,140
2012,162
