year,Beckie
1880,0
1881,0
1882,8
1883,0
1884,0
1885,5
1886,5
1887,0
1888,0
1889,0
1890,0
1891,0
1892,7
1893,5
1894,8
1895,10
1896,6
1897,5
1898,5
1899,6
1900,6
1901,0
1902,0
1903,6
1904,0
1905,0
1906,6
1907,0
1908,0
1909,0
1910,6
1911,7
1912,0
1913,0
1914,5
1915,10
1916,15
1917,11
1918,15
1919,10
1920,11
1921,0
1922,10
1923,9
1924,8
1925,10
1926,7
1927,6
1928,0
1929,8
1930,0
1931,6
1932,7
1933,6
1934,7
1935,10
1936,0
1937,6
1938,10
1939,9
1940,14
1941,17
1942,24
1943,21
1944,18
1945,37
1946,40
1947,41
1948,41
1949,47
1950,37
1951,56
1952,52
1953,70
1954,91
1955,87
1956,101
1957,124
1958,121
1959,128
1960,121
1961,100
1962,82
1963,79
1964,95
1965,81
1966,75
1967,66
1968,59
1969,45
1970,64
1971,59
1972,47
1973,44
1974,36
1975,35
1976,20
1977,21
1978,27
1979,14
1980,31
1981,35
1982,20
1983,16
1984,21
1985,12
1986,9
1987,10
1988,10
1989,0
1990,5
1991,8
1992,5
1993,7
1994,0
1995,8
1996,6
1997,0
1998,0
1999,0
2000,0
2001,7
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
