year,Birdie
1880,85
1881,84
1882,113
1883,93
1884,128
1885,131
1886,123
1887,133
1888,181
1889,166
1890,168
1891,138
1892,153
1893,149
1894,169
1895,189
1896,162
1897,151
1898,178
1899,163
1900,204
1901,170
1902,173
1903,138
1904,151
1905,148
1906,150
1907,157
1908,155
1909,159
1910,187
1911,121
1912,185
1913,214
1914,216
1915,262
1916,282
1917,240
1918,268
1919,243
1920,237
1921,264
1922,261
1923,237
1924,233
1925,212
1926,206
1927,198
1928,162
1929,194
1930,173
1931,151
1932,159
1933,140
1934,137
1935,144
1936,117
1937,111
1938,116
1939,106
1940,115
1941,108
1942,101
1943,91
1944,101
1945,77
1946,70
1947,80
1948,78
1949,67
1950,60
1951,61
1952,55
1953,46
1954,41
1955,34
1956,40
1957,41
1958,32
1959,24
1960,32
1961,29
1962,22
1963,17
1964,17
1965,17
1966,14
1967,10
1968,17
1969,12
1970,14
1971,10
1972,10
1973,10
1974,7
1975,0
1976,8
1977,8
1978,8
1979,7
1980,11
1981,0
1982,0
1983,6
1984,5
1985,0
1986,5
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,6
2000,7
2001,0
2002,0
2003,0
2004,0
2005,6
2006,6
2007,6
2008,11
2009,13
2010,20
2011,19
2012,24
