year,Berenice
1880,0
1881,0
1882,0
1883,8
1884,5
1885,7
1886,5
1887,12
1888,0
1889,20
1890,9
1891,19
1892,20
1893,23
1894,23
1895,23
1896,29
1897,23
1898,37
1899,25
1900,29
1901,29
1902,29
1903,36
1904,25
1905,21
1906,26
1907,28
1908,35
1909,30
1910,32
1911,46
1912,60
1913,52
1914,54
1915,104
1916,97
1917,95
1918,89
1919,83
1920,89
1921,68
1922,51
1923,72
1924,70
1925,56
1926,49
1927,55
1928,33
1929,27
1930,27
1931,17
1932,18
1933,26
1934,17
1935,22
1936,14
1937,18
1938,11
1939,20
1940,17
1941,19
1942,10
1943,9
1944,13
1945,9
1946,9
1947,10
1948,8
1949,6
1950,12
1951,8
1952,8
1953,7
1954,12
1955,9
1956,10
1957,5
1958,0
1959,7
1960,5
1961,6
1962,8
1963,0
1964,7
1965,8
1966,5
1967,10
1968,6
1969,6
1970,9
1971,0
1972,9
1973,9
1974,21
1975,20
1976,21
1977,38
1978,26
1979,29
1980,48
1981,52
1982,63
1983,55
1984,63
1985,71
1986,79
1987,81
1988,111
1989,164
1990,152
1991,201
1992,243
1993,306
1994,268
1995,331
1996,281
1997,236
1998,282
1999,263
2000,276
2001,308
2002,274
2003,281
2004,231
2005,235
2006,252
2007,204
2008,191
2009,228
2010,147
2011,109
2012,129
