year,Boyce
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,8
1894,0
1895,5
1896,8
1897,6
1898,9
1899,5
1900,18
1901,9
1902,0
1903,5
1904,0
1905,9
1906,7
1907,15
1908,11
1909,16
1910,14
1911,21
1912,27
1913,47
1914,54
1915,70
1916,71
1917,71
1918,73
1919,71
1920,74
1921,83
1922,103
1923,90
1924,99
1925,100
1926,99
1927,79
1928,99
1929,102
1930,87
1931,116
1932,115
1933,103
1934,122
1935,88
1936,92
1937,101
1938,125
1939,100
1940,102
1941,93
1942,92
1943,95
1944,86
1945,86
1946,88
1947,81
1948,91
1949,99
1950,69
1951,79
1952,70
1953,77
1954,78
1955,79
1956,82
1957,72
1958,49
1959,57
1960,63
1961,61
1962,56
1963,46
1964,46
1965,54
1966,43
1967,32
1968,41
1969,39
1970,27
1971,44
1972,25
1973,19
1974,24
1975,23
1976,26
1977,16
1978,19
1979,29
1980,25
1981,13
1982,18
1983,22
1984,15
1985,18
1986,10
1987,18
1988,15
1989,15
1990,7
1991,12
1992,16
1993,19
1994,12
1995,14
1996,16
1997,15
1998,17
1999,7
2000,15
2001,10
2002,12
2003,8
2004,0
2005,7
2006,11
2007,14
2008,6
2009,9
2010,7
2011,10
2012,9
