year,Benedict
1880,0
1881,0
1882,8
1883,5
1884,0
1885,12
1886,7
1887,0
1888,0
1889,7
1890,10
1891,6
1892,9
1893,0
1894,7
1895,8
1896,12
1897,6
1898,8
1899,6
1900,11
1901,7
1902,5
1903,11
1904,18
1905,13
1906,15
1907,19
1908,11
1909,12
1910,29
1911,25
1912,46
1913,51
1914,115
1915,133
1916,146
1917,152
1918,163
1919,119
1920,127
1921,135
1922,140
1923,104
1924,114
1925,104
1926,115
1927,102
1928,98
1929,105
1930,89
1931,67
1932,73
1933,65
1934,74
1935,58
1936,63
1937,67
1938,72
1939,68
1940,63
1941,71
1942,92
1943,74
1944,75
1945,68
1946,71
1947,102
1948,79
1949,81
1950,96
1951,86
1952,64
1953,94
1954,74
1955,64
1956,86
1957,85
1958,92
1959,89
1960,79
1961,86
1962,90
1963,81
1964,78
1965,65
1966,60
1967,65
1968,57
1969,46
1970,43
1971,38
1972,52
1973,44
1974,40
1975,50
1976,44
1977,48
1978,46
1979,42
1980,55
1981,55
1982,42
1983,53
1984,44
1985,47
1986,62
1987,58
1988,59
1989,53
1990,47
1991,43
1992,36
1993,61
1994,40
1995,45
1996,56
1997,47
1998,58
1999,54
2000,61
2001,50
2002,57
2003,55
2004,53
2005,157
2006,130
2007,88
2008,101
2009,85
2010,87
2011,58
2012,87
